"background size","chart color","description","Evidence codes","intersecting genes","intersection size","network.SUID","nodes.SUID","p-value","precision","query size","recall","source","term id","term name","term size"
"10842","","SCF-beta-TrCP mediated degradation of Emi1","""REAC""","PSMD4|E6|PIGF|PAK1|RNASE7|NOMO2|KDM2A|H2AC4|ATG9A|MID2|DOK4|PSMD12","12","225133","225255|225169|226221|225163|226591|225991|226457|226409|225345|225683|226139|226255","3.2175956428274234E-10","0.0975609756097561","123","0.21818181818181817","Reactome pathways","REAC:R-HSA-174113","SCF-beta-TrCP mediated degradation of Emi1","55"
"10842","","Degradation of AXIN","""REAC""","PSMD4|E6|PIGF|PAK1|RNASE7|NOMO2|KDM2A|H2AC4|ATG9A|MID2|DOK4|PSMD12","12","225133","225255|225169|226221|225163|226591|225991|226457|226409|225345|225683|226139|226255","3.2175956428274234E-10","0.0975609756097561","123","0.21818181818181817","Reactome pathways","REAC:R-HSA-4641257","Degradation of AXIN","55"
"22097","","""That part of the nuclear content other than the chromosomes or the nucleolus."" [GOC:ma, ISBN:0124325653]","""IPI""|""TAS""|""ISS""|""IBA""|""IEA""|""IDA""|""HDA""","PHB1|UBE2L3|HERC2|PSMD4|MAGEA1|TANGO6|MEF2C|MTUS1|OR6T1|FAM133A|MTAP|LARS1|TP53|CGGBP1|KLK7|PARVA|H1-4|HAL|ipi00768616-rat-pro|MEOX1|Rhoa|E6|TIMP2|NELFCD|RAC1|ZNF366|Psmb5|RMI1|NSUN2|HIST2H2BF|RARA|PIGF|CSTPP1|PAK1|RNASE7|b3kpl7_human|DISC1|CA10|PSMC4|PSMC1|UBE2D1|TEPSIN|TMEM14B|NOMO2|KDM2A|H2AC4|ATG9A|MID2|DOK4|MAP7D1|S100A4|PSMD12|MAGEA12|TMEM31|IDH1|SEM1|NR4A3|TRPV5|UBE2N|SRPRB|TAT|WDR4|Arhgef15|SUMO3|TRIM65|TTC23L|RBM14|PLAUR|RAD23A|RAD23B|Epha4|CCDC74A|EAPP|USP14","74","225133","226543|225923|225507|225255|226181|226677|225911|226529|226213|226151|226519|226491|225241|225533|226463|225995|226335|226435|226319|225655|225277|225169|226685|226075|225161|226765|226239|226083|225511|225955|226011|226221|226039|225163|226591|225351|225971|226115|226247|226243|226331|226307|225445|225991|226457|226409|225345|225683|226139|226503|226277|226255|225637|226315|225403|226281|225423|226325|225927|226301|225217|226091|225491|226019|226087|225819|226577|226225|225757|225771|225941|226119|225975|226727","3.88219743669851E-10","0.4228571428571429","175","0.017535545023696683","Gene Ontology Cellular Component branch","GO:0005654","nucleoplasm","4220"
"10842","","Hh mutants are degraded by ERAD","""REAC""","PSMD4|E6|PIGF|PAK1|RNASE7|NOMO2|KDM2A|H2AC4|ATG9A|MID2|DOK4|PSMD12","12","225133","225255|225169|226221|225163|226591|225991|226457|226409|225345|225683|226139|226255","4.0563330132221325E-10","0.0975609756097561","123","0.21428571428571427","Reactome pathways","REAC:R-HSA-5362768","Hh mutants are degraded by ERAD","56"
"10842","","Apoptosis","""REAC""","PSMD4|LARS1|KLK7|UBAC2|E6|PIGF|PAK1|RNASE7|NOMO2|KDM2A|H2AC4|ATG9A|MID2|DOK4|PSMD12|Rtkn|WDR4|H2BC12","18","225133","225255|226491|226463|225833|225169|226221|225163|226591|225991|226457|226409|225345|225683|226139|226255|225211|226091|226423","4.301786474363694E-10","0.14634146341463414","123","0.10227272727272728","Reactome pathways","REAC:R-HSA-109581","Apoptosis","176"
"10842","","MAPK6/MAPK4 signaling","""REAC""","PSMD4|E6|HIST2H2BF|PIGF|PAK1|RNASE7|NOMO2|KDM2A|H2AC4|ATG9A|MID2|DOK4|PSMD12|Epha4","14","225133","225255|225169|225955|226221|225163|226591|225991|226457|226409|225345|225683|226139|226255|225941","4.316834790183409E-10","0.11382113821138211","123","0.15730337078651685","Reactome pathways","REAC:R-HSA-5687128","MAPK6/MAPK4 signaling","89"
"10842","","Cell Cycle Checkpoints","""REAC""","HERC2|PSMD4|LARS1|E6|TIMP2|PIGF|PAK1|RNASE7|PSMC1|NOMO2|KDM2A|H2AC4|ATG9A|MID2|DOK4|PSMD12|TMEM31|Rtkn|WDR4|SUMO3|TRIM65|TTC23L","22","225133","225507|225255|226491|225169|226685|226221|225163|226591|226243|225991|226457|226409|225345|225683|226139|226255|226315|225211|226091|226019|226087|225819","4.5025208070095444E-10","0.17886178861788618","123","0.07612456747404844","Reactome pathways","REAC:R-HSA-69620","Cell Cycle Checkpoints","289"
"21031","","""The chemical reactions and pathways resulting in the breakdown of a protein or peptide by hydrolysis of its peptide bonds that is mediated by the proteasome."" [GOC:tb]","""NAS""|""TAS""|""IMP""|""ISS""|""IBA""|""IEA""|""IDA""","HERC2|PSMD4|BBS1|HAL|UBXN1|ZNF250|E6|Psmb5|PIGF|PAK1|RNASE7|PSMC1|TTC3|NOMO2|KDM2A|H2AC4|ATG9A|MID2|PSMD12|TMEM31|TAT|Arhgef15|CELA2B|RAD23B|ACTBL2","25","225133","225507|225255|226111|226435|226755|225867|225169|226239|226221|225163|226591|226243|226031|225991|226457|226409|225345|225683|226255|226315|225217|225491|226127|225771|226349","4.981170421711156E-10","0.14705882352941177","170","0.05040322580645161","Gene Ontology Biological Process","GO:0010498","proteasomal protein catabolic process","496"
"10842","","Degradation of DVL","""REAC""","PSMD4|E6|PIGF|PAK1|RNASE7|NOMO2|KDM2A|H2AC4|ATG9A|MID2|DOK4|PSMD12","12","225133","225255|225169|226221|225163|226591|225991|226457|226409|225345|225683|226139|226255","5.089353595503737E-10","0.0975609756097561","123","0.21052631578947367","Reactome pathways","REAC:R-HSA-4641258","Degradation of DVL","57"
"10842","","CDK-mediated phosphorylation and removal of Cdc6","""REAC""","PSMD4|E6|PIGF|PAK1|RNASE7|PSMC1|NOMO2|KDM2A|H2AC4|ATG9A|MID2|DOK4|PSMD12","13","225133","225255|225169|226221|225163|226591|226243|225991|226457|226409|225345|225683|226139|226255","5.524604441226446E-10","0.10569105691056911","123","0.1780821917808219","Reactome pathways","REAC:R-HSA-69017","CDK-mediated phosphorylation and removal of Cdc6","73"
"10842","","Cdc20:Phospho-APC/C mediated degradation of Cyclin A","""REAC""","PSMD4|E6|PIGF|PAK1|RNASE7|PSMC1|NOMO2|KDM2A|H2AC4|ATG9A|MID2|DOK4|PSMD12","13","225133","225255|225169|226221|225163|226591|226243|225991|226457|226409|225345|225683|226139|226255","5.524604441226446E-10","0.10569105691056911","123","0.1780821917808219","Reactome pathways","REAC:R-HSA-174184","Cdc20:Phospho-APC/C mediated degradation of Cyclin A","73"
"10842","","APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint","""REAC""","PSMD4|E6|PIGF|PAK1|RNASE7|PSMC1|NOMO2|KDM2A|H2AC4|ATG9A|MID2|DOK4|PSMD12","13","225133","225255|225169|226221|225163|226591|226243|225991|226457|226409|225345|225683|226139|226255","6.638629590954458E-10","0.10569105691056911","123","0.17567567567567569","Reactome pathways","REAC:R-HSA-179419","APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint","74"
"10842","","APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1","""REAC""","PSMD4|E6|PIGF|PAK1|RNASE7|PSMC1|NOMO2|KDM2A|H2AC4|ATG9A|MID2|DOK4|PSMD12","13","225133","225255|225169|226221|225163|226591|226243|225991|226457|226409|225345|225683|226139|226255","6.638629590954458E-10","0.10569105691056911","123","0.17567567567567569","Reactome pathways","REAC:R-HSA-174178","APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1","74"
"10842","","PCP/CE pathway","""REAC""","PSMD4|MTUS1|FAF2|E6|PIGF|PAK1|RNASE7|NOMO2|KDM2A|H2AC4|ATG9A|MID2|DOK4|PSMD12","14","225133","225255|226529|226147|225169|226221|225163|226591|225991|226457|226409|225345|225683|226139|226255","6.926273045219445E-10","0.11382113821138211","123","0.15217391304347827","Reactome pathways","REAC:R-HSA-4086400","PCP/CE pathway","92"
"10842","","Programmed Cell Death","""REAC""","UBE2L3|PSMD4|LARS1|KLK7|UBAC2|E6|PIGF|PAK1|RNASE7|NOMO2|KDM2A|H2AC4|ATG9A|MID2|DOK4|PSMD12|Rtkn|WDR4|H2BC12","19","225133","225923|225255|226491|226463|225833|225169|226221|225163|226591|225991|226457|226409|225345|225683|226139|226255|225211|226091|226423","7.371461366650716E-10","0.15447154471544716","123","0.09134615384615384","Reactome pathways","REAC:R-HSA-5357801","Programmed Cell Death","208"
"10842","","Deubiquitination","""REAC""","CCP110|PSMD4|LARS1|RPL29|FAF2|E6|Psmb5|PIGF|PAK1|RNASE7|PSMC1|NOMO2|KDM2A|H2AC4|ATG9A|MID2|DOK4|PSMD12|TAT|Arhgef15|SUMO3|CELA2B","22","225133","226361|225255|226491|226621|226147|225169|226239|226221|225163|226591|226243|225991|226457|226409|225345|225683|226139|226255|225217|225491|226019|226127","7.805877784584547E-10","0.17886178861788618","123","0.07407407407407407","Reactome pathways","REAC:R-HSA-5688426","Deubiquitination","297"
"10842","","Hh mutants abrogate ligand secretion","""REAC""","PSMD4|E6|PIGF|PAK1|RNASE7|NOMO2|KDM2A|H2AC4|ATG9A|MID2|DOK4|PSMD12","12","225133","225255|225169|226221|225163|226591|225991|226457|226409|225345|225683|226139|226255","7.90350971216353E-10","0.0975609756097561","123","0.2033898305084746","Reactome pathways","REAC:R-HSA-5387390","Hh mutants abrogate ligand secretion","59"
"10842","","NIK-->noncanonical NF-kB signaling","""REAC""","PSMD4|E6|PIGF|PAK1|RNASE7|NOMO2|KDM2A|H2AC4|ATG9A|MID2|DOK4|PSMD12","12","225133","225255|225169|226221|225163|226591|225991|226457|226409|225345|225683|226139|226255","7.90350971216353E-10","0.0975609756097561","123","0.2033898305084746","Reactome pathways","REAC:R-HSA-5676590","NIK-->noncanonical NF-kB signaling","59"
"10842","","Interleukin-1 signaling","""REAC""","PSMD4|LARS1|E6|PIGF|PAK1|RNASE7|NOMO2|KDM2A|H2AC4|ATG9A|MID2|DOK4|PSMD12|TMEM31|CELA2B","15","225133","225255|226491|225169|226221|225163|226591|225991|226457|226409|225345|225683|226139|226255|226315|226127","8.32095282601877E-10","0.12195121951219512","123","0.13274336283185842","Reactome pathways","REAC:R-HSA-9020702","Interleukin-1 signaling","113"
"10842","","DNA Replication Pre-Initiation","""REAC""","PSMD4|E6|PIGF|PAK1|RNASE7|PSMC1|NOMO2|KDM2A|H2AC4|ATG9A|MID2|DOK4|PSMD12|SUMO3|TRIM65|TTC23L|EAPP","17","225133","225255|225169|226221|225163|226591|226243|225991|226457|226409|225345|225683|226139|226255|226019|226087|225819|225975","9.321924489974184E-10","0.13821138211382114","123","0.1069182389937107","Reactome pathways","REAC:R-HSA-69002","DNA Replication Pre-Initiation","159"
"10842","","APC/C:Cdc20 mediated degradation of mitotic proteins","""REAC""","PSMD4|E6|PIGF|PAK1|RNASE7|PSMC1|NOMO2|KDM2A|H2AC4|ATG9A|MID2|DOK4|PSMD12","13","225133","225255|225169|226221|225163|226591|226243|225991|226457|226409|225345|225683|226139|226255","9.505421294060625E-10","0.10569105691056911","123","0.17105263157894737","Reactome pathways","REAC:R-HSA-176409","APC/C:Cdc20 mediated degradation of mitotic proteins","76"
"10842","","Degradation of GLI2 by the proteasome","""REAC""","PSMD4|E6|PIGF|PAK1|RNASE7|NOMO2|KDM2A|H2AC4|ATG9A|MID2|DOK4|PSMD12","12","225133","225255|225169|226221|225163|226591|225991|226457|226409|225345|225683|226139|226255","9.785800857169036E-10","0.0975609756097561","123","0.2","Reactome pathways","REAC:R-HSA-5610783","Degradation of GLI2 by the proteasome","60"
"10842","","Dectin-1 mediated noncanonical NF-kB signaling","""REAC""","PSMD4|E6|PIGF|PAK1|RNASE7|NOMO2|KDM2A|H2AC4|ATG9A|MID2|DOK4|PSMD12","12","225133","225255|225169|226221|225163|226591|225991|226457|226409|225345|225683|226139|226255","9.785800857169036E-10","0.0975609756097561","123","0.2","Reactome pathways","REAC:R-HSA-5607761","Dectin-1 mediated noncanonical NF-kB signaling","60"
"10842","","SCF(Skp2)-mediated degradation of p27/p21","""REAC""","PSMD4|E6|PIGF|PAK1|RNASE7|NOMO2|KDM2A|H2AC4|ATG9A|MID2|DOK4|PSMD12","12","225133","225255|225169|226221|225163|226591|225991|226457|226409|225345|225683|226139|226255","9.785800857169036E-10","0.0975609756097561","123","0.2","Reactome pathways","REAC:R-HSA-187577","SCF(Skp2)-mediated degradation of p27/p21","60"
"10842","","GLI3 is processed to GLI3R by the proteasome","""REAC""","PSMD4|E6|PIGF|PAK1|RNASE7|NOMO2|KDM2A|H2AC4|ATG9A|MID2|DOK4|PSMD12","12","225133","225255|225169|226221|225163|226591|225991|226457|226409|225345|225683|226139|226255","9.785800857169036E-10","0.0975609756097561","123","0.2","Reactome pathways","REAC:R-HSA-5610785","GLI3 is processed to GLI3R by the proteasome","60"
"10842","","Degradation of GLI1 by the proteasome","""REAC""","PSMD4|E6|PIGF|PAK1|RNASE7|NOMO2|KDM2A|H2AC4|ATG9A|MID2|DOK4|PSMD12","12","225133","225255|225169|226221|225163|226591|225991|226457|226409|225345|225683|226139|226255","9.785800857169036E-10","0.0975609756097561","123","0.2","Reactome pathways","REAC:R-HSA-5610780","Degradation of GLI1 by the proteasome","60"
"10842","","C-type lectin receptors (CLRs)","""REAC""","PSMD4|E6|HIST2H2BF|PIGF|PAK1|RNASE7|CA10|PSMC1|NOMO2|KDM2A|H2AC4|ATG9A|MID2|DOK4|PSMD12|TMEM31","16","225133","225255|225169|225955|226221|225163|226591|226115|226243|225991|226457|226409|225345|225683|226139|226255|226315","9.794818165617374E-10","0.13008130081300814","123","0.11764705882352941","Reactome pathways","REAC:R-HSA-5621481","C-type lectin receptors (CLRs)","136"
"8286","","Proteasome degradation","""WP""","PSMD4|E6|PIGF|PAK1|RNASE7|CA10|PSMC1|NOMO2|KDM2A|ATG9A|MID2|DOK4","12","225133","225255|225169|226221|225163|226591|226115|226243|225991|226457|225345|225683|226139","1.0228438009153658E-9","0.12","100","0.1935483870967742","WikiPathways","WP:WP183","Proteasome degradation","62"
"10842","","Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins","""REAC""","PSMD4|E6|PIGF|PAK1|RNASE7|PSMC1|NOMO2|KDM2A|H2AC4|ATG9A|MID2|DOK4|PSMD12","13","225133","225255|225169|226221|225163|226591|226243|225991|226457|226409|225345|225683|226139|226255","1.132809998377162E-9","0.10569105691056911","123","0.16883116883116883","Reactome pathways","REAC:R-HSA-176814","Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins","77"
"10842","","ABC transporter disorders","""REAC""","PSMD4|RPL29|E6|PIGF|PAK1|RNASE7|NOMO2|KDM2A|H2AC4|ATG9A|MID2|DOK4|PSMD12","13","225133","225255|226621|225169|226221|225163|226591|225991|226457|226409|225345|225683|226139|226255","1.3465210121029747E-9","0.10569105691056911","123","0.16666666666666666","Reactome pathways","REAC:R-HSA-5619084","ABC transporter disorders","78"
"10842","","Nuclear events mediated by NFE2L2","""REAC""","PSMD4|E6|PIGF|PAK1|RNASE7|NOMO2|KDM2A|H2AC4|ATG9A|MID2|DOK4|Ube3a|PSMD12","13","225133","225255|225169|226221|225163|226591|225991|226457|226409|225345|225683|226139|225945|226255","1.3465210121029747E-9","0.10569105691056911","123","0.16666666666666666","Reactome pathways","REAC:R-HSA-9759194","Nuclear events mediated by NFE2L2","78"
"10842","","Assembly of the pre-replicative complex","""REAC""","PSMD4|E6|PIGF|PAK1|RNASE7|PSMC1|NOMO2|KDM2A|H2AC4|ATG9A|MID2|DOK4|PSMD12|SUMO3|TRIM65|TTC23L","16","225133","225255|225169|226221|225163|226591|226243|225991|226457|226409|225345|225683|226139|226255|226019|226087|225819","1.9230186123001863E-9","0.13008130081300814","123","0.11267605633802817","Reactome pathways","REAC:R-HSA-68867","Assembly of the pre-replicative complex","142"
"10842","","Signaling by NOTCH4","""REAC""","PSMD4|E6|PIGF|PAK1|RNASE7|NOMO2|KDM2A|H2AC4|ATG9A|MID2|DOK4|PSMD12|WDR4","13","225133","225255|225169|226221|225163|226591|225991|226457|226409|225345|225683|226139|226255|226091","2.227979593323526E-9","0.10569105691056911","123","0.16049382716049382","Reactome pathways","REAC:R-HSA-9013694","Signaling by NOTCH4","81"
"10842","","Regulation of APC/C activators between G1/S and early anaphase","""REAC""","PSMD4|E6|PIGF|PAK1|RNASE7|PSMC1|NOMO2|KDM2A|H2AC4|ATG9A|MID2|DOK4|PSMD12","13","225133","225255|225169|226221|225163|226591|226243|225991|226457|226409|225345|225683|226139|226255","2.227979593323526E-9","0.10569105691056911","123","0.16049382716049382","Reactome pathways","REAC:R-HSA-176408","Regulation of APC/C activators between G1/S and early anaphase","81"
"10842","","Hedgehog ligand biogenesis","""REAC""","PSMD4|E6|PIGF|PAK1|RNASE7|NOMO2|KDM2A|H2AC4|ATG9A|MID2|DOK4|PSMD12","12","225133","225255|225169|226221|225163|226591|225991|226457|226409|225345|225683|226139|226255","2.685756322298023E-9","0.0975609756097561","123","0.18461538461538463","Reactome pathways","REAC:R-HSA-5358346","Hedgehog ligand biogenesis","65"
"10842","","Activation of NF-kappaB in B cells","""REAC""","PSMD4|E6|PIGF|PAK1|RNASE7|NOMO2|KDM2A|H2AC4|ATG9A|MID2|DOK4|PSMD12","12","225133","225255|225169|226221|225163|226591|225991|226457|226409|225345|225683|226139|226255","3.923379359009373E-9","0.0975609756097561","123","0.1791044776119403","Reactome pathways","REAC:R-HSA-1169091","Activation of NF-kappaB in B cells","67"
"10842","","Regulation of RAS by GAPs","""REAC""","PSMD4|E6|PIGF|PAK1|RNASE7|NOMO2|KDM2A|H2AC4|ATG9A|MID2|DOK4|PSMD12","12","225133","225255|225169|226221|225163|226591|225991|226457|226409|225345|225683|226139|226255","3.923379359009373E-9","0.0975609756097561","123","0.1791044776119403","Reactome pathways","REAC:R-HSA-5658442","Regulation of RAS by GAPs","67"
"21031","","""The hydrolysis of proteins into smaller polypeptides and/or amino acids by cleavage of their peptide bonds."" [GOC:bf, GOC:mah]","""NAS""|""TAS""|""IGI""|""IMP""|""ISS""|""IBA""|""IEA""|""IDA""","UBE2L3|HERC2|PSMD4|LARS1|PDE1B|BBS1|HAL|UBXN1|ZNF250|MEOX2|E6|Psmb5|TUBB2B|PIGF|PAK1|RNASE7|b3kpl7_human|RPL17|CA10|PSMC1|TTC3|SERHL2|PRAG1|NOMO2|KDM2A|H2AC4|ATG9A|MID2|DOK4|PSMD12|PSMD14|TMEM31|UBB|EIF4G1|YWHAE|TAT|Arhgef15|SNAPC3|CELA2B|RAD23B|H2BC12|ACTBL2","42","225133","225923|225507|225255|226491|225999|226111|226435|226755|225867|225669|225169|226239|226699|226221|225163|226591|225351|226595|226115|226243|226031|226289|226003|225991|226457|226409|225345|225683|226139|226255|226263|226315|225375|226055|226095|225217|225491|225367|226127|225771|226423|226349","5.637306501960977E-9","0.24705882352941178","170","0.02670057215511761","Gene Ontology Biological Process","GO:0006508","proteolysis","1573"
"10842","","Regulation of PTEN stability and activity","""REAC""","PSMD4|E6|PIGF|PAK1|RNASE7|NOMO2|KDM2A|H2AC4|ATG9A|MID2|DOK4|PSMD12","12","225133","225255|225169|226221|225163|226591|225991|226457|226409|225345|225683|226139|226255","5.658305963555958E-9","0.0975609756097561","123","0.17391304347826086","Reactome pathways","REAC:R-HSA-8948751","Regulation of PTEN stability and activity","69"
"10842","","G1/S Transition","""REAC""","PSMD4|E6|PIGF|PAK1|RNASE7|NOMO2|KDM2A|H2AC4|ATG9A|MID2|DOK4|PSMD12|TRIM65|TTC23L|EAPP","15","225133","225255|225169|226221|225163|226591|225991|226457|226409|225345|225683|226139|226255|226087|225819|225975","6.619695751439396E-9","0.12195121951219512","123","0.11538461538461539","Reactome pathways","REAC:R-HSA-69206","G1/S Transition","130"
"10842","","Regulation of mitotic cell cycle","""REAC""","PSMD4|E6|PIGF|PAK1|RNASE7|PSMC1|NOMO2|KDM2A|H2AC4|ATG9A|MID2|DOK4|PSMD12","13","225133","225255|225169|226221|225163|226591|226243|225991|226457|226409|225345|225683|226139|226255","6.667530103261384E-9","0.10569105691056911","123","0.14772727272727273","Reactome pathways","REAC:R-HSA-453276","Regulation of mitotic cell cycle","88"
"10842","","APC/C-mediated degradation of cell cycle proteins","""REAC""","PSMD4|E6|PIGF|PAK1|RNASE7|PSMC1|NOMO2|KDM2A|H2AC4|ATG9A|MID2|DOK4|PSMD12","13","225133","225255|225169|226221|225163|226591|226243|225991|226457|226409|225345|225683|226139|226255","6.667530103261384E-9","0.10569105691056911","123","0.14772727272727273","Reactome pathways","REAC:R-HSA-174143","APC/C-mediated degradation of cell cycle proteins","88"
"10842","","Regulation of RUNX2 expression and activity","""REAC""","PSMD4|E6|PIGF|PAK1|RNASE7|NOMO2|KDM2A|H2AC4|ATG9A|MID2|DOK4|PSMD12","12","225133","225255|225169|226221|225163|226591|225991|226457|226409|225345|225683|226139|226255","8.062939746694043E-9","0.0975609756097561","123","0.16901408450704225","Reactome pathways","REAC:R-HSA-8939902","Regulation of RUNX2 expression and activity","71"
"10842","","Fc epsilon receptor (FCERI) signaling","""REAC""","PSMD4|E6|HIST2H2BF|PIGF|PAK1|RNASE7|CA10|PSMC1|NOMO2|KDM2A|H2AC4|ATG9A|MID2|DOK4|PSMD12|TMEM31|USP14","17","225133","225255|225169|225955|226221|225163|226591|226115|226243|225991|226457|226409|225345|225683|226139|226255|226315|226727","8.386535393220289E-9","0.13821138211382114","123","0.09340659340659341","Reactome pathways","REAC:R-HSA-2454202","Fc epsilon receptor (FCERI) signaling","182"
"21031","","""The chemical reactions and pathways resulting in the breakdown of organonitrogen compound."" [GOC:pr, GOC:TermGenie]","""NAS""|""TAS""|""IGI""|""IMP""|""ISS""|""IBA""|""IEA""|""IDA""","PHB1|UBE2L3|HERC2|PSMD4|CFTR|BBS1|RPS26|HAL|UBXN1|ZNF250|MEOX2|E6|Psmb5|TUBB2B|PIGF|PAK1|RNASE7|b3kpl7_human|RPL17|CA10|PSMC1|TTC3|SERHL2|PRAG1|NOMO2|KDM2A|H2AC4|ATG9A|MID2|DOK4|PSMD12|TMEM31|RHBDD2|TAT|Arhgef15|SNAPC3|CELA2B|RAD23B|ACTBL2","39","225133","226543|225923|225507|225255|225895|226111|226635|226435|226755|225867|225669|225169|226239|226699|226221|225163|226591|225351|226595|226115|226243|226031|226289|226003|225991|226457|226409|225345|225683|226139|226255|226315|225431|225217|225491|225367|226127|225771|226349","1.1015273896592733E-8","0.22941176470588234","170","0.027877055039313797","Gene Ontology Biological Process","GO:1901565","organonitrogen compound catabolic process","1399"
"10842","","Hedgehog 'off' state","""REAC""","PSMD4|E6|TCF19|PIGF|PAK1|RNASE7|NOMO2|KDM2A|H2AC4|ATG9A|MID2|DOK4|PSMD10|PSMD12","14","225133","225255|225169|226027|226221|225163|226591|225991|226457|226409|225345|225683|226139|226251|226255","1.2355692115555338E-8","0.11382113821138211","123","0.12389380530973451","Reactome pathways","REAC:R-HSA-5610787","Hedgehog 'off' state","113"
"10842","","FCERI mediated NF-kB activation","""REAC""","PSMD4|E6|PIGF|PAK1|RNASE7|CA10|PSMC1|NOMO2|KDM2A|H2AC4|ATG9A|MID2|DOK4|PSMD12|TMEM31","15","225133","225255|225169|226221|225163|226591|226115|226243|225991|226457|226409|225345|225683|226139|226255|226315","1.2789490324753928E-8","0.12195121951219512","123","0.11029411764705882","Reactome pathways","REAC:R-HSA-2871837","FCERI mediated NF-kB activation","136"
"10842","","DNA Replication","""REAC""","PSMD4|E6|PIGF|PAK1|RNASE7|PSMC1|NOMO2|KDM2A|H2AC4|ATG9A|MID2|DOK4|PSMD12|SUMO3|TRIM65|TTC23L|EAPP","17","225133","225255|225169|226221|225163|226591|226243|225991|226457|226409|225345|225683|226139|226255|226019|226087|225819|225975","1.2958130389216264E-8","0.13821138211382114","123","0.09090909090909091","Reactome pathways","REAC:R-HSA-69306","DNA Replication","187"
"22097","","""The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."" [ISBN:0198547684]","""IPI""|""IC""|""NAS""|""TAS""|""EXP""|""IMP""|""ISS""|""IBA""|""IEA""|""IDA""|""HDA""","EIF4A1|PHB1|KDELR1|ECI2|CCP110|UBE2L3|HERC2|PSMD4|P0DTD1-PRO_0000449633|MAGEA1|CCDC92|TANGO6|SMARCC2|RPL21|ECH1|MTUS1|ubiq_human|SCAMP1|OR6T1|FAM133A|EID1|MTAP|MARF1|LARS1|RPL29|CFTR|CGGBP1|PDE1B|KLK7|GMCL2|TP53BP2|PRELID3A|VASP|BBS1|PARVA|RPS26|H1-4|HAL|UBXN1|ZNF250|ipi00768616-rat-pro|ZFAND2B|FAF2|MEOX2|E6|NELFCD|RAC1|Psmb5|TCF19|RMI1|NSUN2|PpD3|HBA1|PAX5|HIST2H2BF|UCHL5|RHOA|TUBB2B|AFTPH|RARA|PIGF|CSTPP1|ALOX12B|PAK1|RNASE7|b3kpl7_human|AHSP|DISC1|CCT4|Psmd6|CA10|KTN1|PSMC4|PSMC1|TTC3|SERHL2|EEF1AKMT3|UBE3C|PRAG1|ZFAND6|KLHL38|ZFAND5|JADE1|Tnf|TEPSIN|RPH3A|CAPN3|POTEF|ZNF446|TMEM14B|NOMO2|KDM2A|H2AC4|ATG9A|MID2|KRT72|DOK4|MAP7D1|MAP7D2|S100A4|Ube3a|PSMD10|PSMD12|TMEM31|PSAP|UBC|TBC1D14|Rtkn|RHBDD2|IDH1|FUZ|SEM1|PIP|TRPV5|UBE2N|LCN1|SRPRB|YWHAE|TAT|WDR4|Arhgef15|SUMO3|SNAPC3|CEP170|RBM14|CELA2B|PLAUR|RAD23A|YWHAZ|RAD23B|H2BC12|Epha4|ACTBL2|CCDC74A|MCM6|USP14|OR5M8|ASAP3|Ephb2","139","225133","226399|226543|226175|226387|226361|225923|225507|225255|226217|226181|226123|226677|226295|226607|226377|226529|225935|226015|226213|226151|225979|226519|225361|226491|226621|225895|225533|225999|226463|226167|225805|226235|226737|226111|225995|226635|226335|226435|226755|225867|226319|226761|226147|225669|225169|226075|225161|226239|226027|226083|225511|226231|226059|225689|225955|225483|225213|226699|226035|226011|226221|226039|226357|225163|226591|225351|225337|225971|226365|226267|226115|226487|226247|226243|226031|226289|226143|226715|226003|226749|225357|226745|225453|226321|226307|225287|225963|226555|225881|225445|225991|226457|226409|225345|225683|226479|226139|226503|226187|226277|225945|226251|226255|226315|226007|225383|226023|225211|225431|225403|226161|226281|226549|226325|225927|226497|226301|226095|225217|226091|225491|226019|225367|226369|226577|226127|226225|225757|226099|225771|226423|225941|226349|226119|225301|226727|226209|225341|225489","1.3784597248940692E-8","0.7942857142857143","175","0.011259619279060348","Gene Ontology Cellular Component branch","GO:0005737","cytoplasm","12345"
"10842","","S Phase","""REAC""","PSMD4|E6|PIGF|PAK1|RNASE7|PSMC1|NOMO2|KDM2A|H2AC4|ATG9A|MID2|DOK4|PSMD12|TRIM65|TTC23L|EAPP","16","225133","225255|225169|226221|225163|226591|226243|225991|226457|226409|225345|225683|226139|226255|226087|225819|225975","1.4672998738959424E-8","0.13008130081300814","123","0.09876543209876543","Reactome pathways","REAC:R-HSA-69242","S Phase","162"
"10842","","Transcriptional regulation by RUNX3","""REAC""","PSMD4|LARS1|E6|PIGF|PAK1|RNASE7|NOMO2|KDM2A|H2AC4|ATG9A|MID2|DOK4|PSMD12","13","225133","225255|226491|225169|226221|225163|226591|225991|226457|226409|225345|225683|226139|226255","1.580063312066163E-8","0.10569105691056911","123","0.13829787234042554","Reactome pathways","REAC:R-HSA-8878159","Transcriptional regulation by RUNX3","94"
